date,title,amount
2026-03-01,Supermercado Extra,145.90
2026-03-01,Uber *Trip,18.50
2026-03-02,Amazon.com.br - Parcela 2/6,89.90
2026-03-02,Farmacia Sao Paulo,34.50
2026-03-03,iFood *Restaurante Italiano,42.00
2026-03-03,Spotify Brasil,19.90
2026-03-04,Netflix.com,55.90
2026-03-04,Posto Shell Combustivel,220.00
2026-03-05,Mercado Livre *Eletronicos - Parcela 1/3,299.90
2026-03-05,Padaria Bom Dia,12.80
2026-03-06,Renner Roupas - Parcela 3/4,75.00
2026-03-06,Starbucks Coffee,22.50
2026-03-07,Consulta Medica Dr Lima,280.00
2026-03-07,Estacionamento Center,15.00
2026-03-08,Cinema Cinemark,65.00
2026-03-08,Rappi *Mercado,38.90
2026-03-09,Livraria Cultura,49.90
2026-03-09,Uber *Trip,24.00
2026-03-10,Smart Fit Mensalidade,109.90
2026-03-10,iFood *Sushi Delivery,67.00
2026-03-11,Apple.com/bill - Parcela 5/12,416.58
2026-03-11,Drogasil Medicamentos,88.50
2026-03-12,Zara Brasil - Parcela 2/3,133.30
2026-03-12,Cafe Illy,14.90
2026-03-13,Pet Shop Cobasi,95.00
2026-03-13,Uber *Trip,31.00
2026-03-14,Supermercado Carrefour,198.70
2026-03-14,YouTube Premium,25.90
2026-03-15,Decathlon Esportes - Parcela 1/5,159.80
2026-03-15,iFood *Pizza Hut,55.00
2026-03-16,Amazon Prime Video,14.90
2026-03-16,Barbearia Vintage,85.00
2026-03-17,Supermercado Pao de Acucar,112.40
2026-03-17,99 *Corrida,22.00
2026-03-18,Dentista Odontoclinic - Parcela 4/6,250.00
2026-03-18,Lanchonete Bom Sabor,28.50
2026-03-19,Cinemark IMAX,78.00
2026-03-19,Rappi *Farmacia,42.30
2026-03-20,Leroy Merlin - Parcela 1/10,189.90
2026-03-20,iFood *Acai,19.90
