Data,Valor,Descrição
01/03/2026,-45.90,SUPERMERCADO EXTRA
01/03/2026,-12.50,UBER *TRIP
02/03/2026,-89.00,FARMACIA SAO PAULO
02/03/2026,3500.00,TED RECEBIDA - EMPRESA LTDA
03/03/2026,-150.00,PIX ENVIADO - JOAO SILVA
03/03/2026,-34.90,IFOOD *RESTAURANTE
04/03/2026,-22.00,ESTACIONAMENTO CENTER
04/03/2026,-67.80,POSTO SHELL COMBUSTIVEL
05/03/2026,-9.90,SPOTIFY BRASIL
05/03/2026,-39.90,NETFLIX.COM
06/03/2026,-250.00,PIX ENVIADO - ALUGUEL
06/03/2026,-18.50,PADARIA REAL
07/03/2026,-120.00,CONSULTA MEDICA DR SOUZA
07/03/2026,-55.00,ACADEMIA SMARTFIT
08/03/2026,1200.00,PIX RECEBIDO - FREELANCE
08/03/2026,-32.40,SUPERMERCADO CARREFOUR
09/03/2026,-75.00,CORTE CABELO BARBEARIA
09/03/2026,-15.90,LIVRARIA CULTURA
10/03/2026,-199.90,RENNER ROUPAS
10/03/2026,-28.00,UBER *TRIP
11/03/2026,-42.00,IFOOD *SUSHI DELIVERY
11/03/2026,-8.50,CAFE STARBUCKS
12/03/2026,-350.00,DENTISTA ODONTOCLINIC
12/03/2026,-60.00,PIX ENVIADO - MARIA SOUZA
13/03/2026,3500.00,TED RECEBIDA - EMPRESA LTDA
13/03/2026,-95.00,MERCADO LIVRE *COMPRA
14/03/2026,-23.50,LANCHONETE BOM SABOR
14/03/2026,-180.00,CONTA DE LUZ ENEL
15/03/2026,-110.00,CONTA DE AGUA SABESP
15/03/2026,-79.90,INTERNET VIVO FIBRA
16/03/2026,-14.90,AMAZON PRIME
16/03/2026,-63.00,DROGASIL MEDICAMENTOS
17/03/2026,-200.00,PIX ENVIADO - DIARISTA
17/03/2026,-45.00,UBER *TRIP
18/03/2026,-88.00,SUPERMERCADO PÃO DE AÇUCAR
18/03/2026,-11.90,YOUTUBE PREMIUM
19/03/2026,-55.00,CINEMA CINEMARK
19/03/2026,-38.00,RAPPI *MERCADO
20/03/2026,-130.00,VETERINARIO PET SHOP
20/03/2026,-25.00,ESTACIONAMENTO SHOPPING
