Data,Valor,Descricao
01/03/2026,-78.50,SUPERMERCADO BIG
01/03/2026,-19.90,99 *CORRIDA
02/03/2026,4200.00,SALARIO MENSAL
02/03/2026,-320.00,PIX ENVIADO - CONDOMINIO
03/03/2026,-56.00,RESTAURANTE OUTBACK
03/03/2026,-14.00,PADARIA TRIGO BOM
04/03/2026,-42.50,POSTO IPIRANGA GASOLINA
04/03/2026,-29.90,IFOOD *PIZZA HUT
05/03/2026,-500.00,PIX ENVIADO - SEGURO AUTO
05/03/2026,-65.00,FARMACIA RAIA
06/03/2026,-9.90,DISNEY PLUS
06/03/2026,-33.00,UBER *TRIP
07/03/2026,-85.00,ACADEMIA BODYTECH
07/03/2026,-150.00,PIX ENVIADO - PSICOLOGO
08/03/2026,-22.90,LIVRARIA SARAIVA
08/03/2026,-48.00,SUPERMERCADO DIA
09/03/2026,800.00,PIX RECEBIDO - DIVIDENDO
09/03/2026,-120.00,ROUPAS ZARA
10/03/2026,-35.50,LANCHONETE BOBS
10/03/2026,-16.90,APPLE ICLOUD
11/03/2026,-210.00,CONTA GAS COMGAS
11/03/2026,-92.00,MERCADO LIVRE *ELETRONICO
12/03/2026,-28.00,CAFE ILLY EXPRESSO
12/03/2026,-45.00,UBER *TRIP
13/03/2026,-175.00,MECANICO AUTO CENTER
13/03/2026,-38.90,RAPPI *FARMACIA
14/03/2026,4200.00,SALARIO MENSAL
14/03/2026,-62.00,CHURRASCARIA FOGO VIVO
15/03/2026,-99.90,CELULAR CLARO CONTA
15/03/2026,-55.00,CINEMA UCI
16/03/2026,-300.00,PIX ENVIADO - CURSO ONLINE
16/03/2026,-18.50,SORVETE HAAGEN DAZS
17/03/2026,-73.00,SUPERMERCADO ASSAI
17/03/2026,-40.00,ESTACIONAMENTO AEROPORTO
18/03/2026,-25.90,BURGER KING
18/03/2026,-110.00,EXAME LABORATORIO
19/03/2026,-15.00,UBER *TRIP
19/03/2026,-88.00,PETSHOP COBASI
20/03/2026,-200.00,PIX ENVIADO - DIARISTA
20/03/2026,-34.00,IFOOD *JAPONESA
