date,title,amount
2026-03-01,Supermercado Big,167.30
2026-03-01,Uber *Trip,15.00
2026-03-02,Magazine Luiza - Parcela 3/10,189.90
2026-03-02,iFood *Burger King,35.90
2026-03-03,Farmacia Raia,72.00
2026-03-03,Disney Plus,33.90
2026-03-04,Restaurante Outback,148.00
2026-03-04,Estacionamento Shopping,20.00
2026-03-05,Samsung Store - Parcela 2/12,249.92
2026-03-05,Padaria Trigo Bom,18.50
2026-03-06,Academia Bodytech,159.90
2026-03-06,Rappi *Sorvete,24.90
2026-03-07,Casas Bahia - Parcela 1/6,333.17
2026-03-07,Uber *Trip,28.00
2026-03-08,Supermercado Assai,205.40
2026-03-08,Apple iCloud,12.90
2026-03-09,Cinepolis VIP,95.00
2026-03-09,iFood *Restaurante Japones,58.00
2026-03-10,Renner Roupas - Parcela 1/3,89.97
2026-03-10,Starbucks,19.50
2026-03-11,Mercado Livre *Livros,64.90
2026-03-11,99 *Corrida,17.50
2026-03-12,Consulta Dermato Dra Alves,350.00
2026-03-12,Drogaria Pacheco,45.80
2026-03-13,C&A Moda - Parcela 2/4,62.48
2026-03-13,Cafe Nespresso,32.00
2026-03-14,Supermercado Dia,93.20
2026-03-14,Spotify Duo,24.90
2026-03-15,Fast Shop - Parcela 3/8,162.38
2026-03-15,iFood *Acai Power,26.90
2026-03-16,Tok Stok - Parcela 1/5,219.80
2026-03-16,Uber *Trip,33.00
2026-03-17,Supermercado Carrefour,178.60
2026-03-17,Netflix.com,55.90
2026-03-18,Riachuelo - Parcela 2/3,66.63
2026-03-18,Lanchonete Giraffa,22.00
2026-03-19,Veterinario Pet Care,180.00
2026-03-19,Rappi *Mercado,51.40
2026-03-20,Kalunga Papelaria - Parcela 1/2,74.95
2026-03-20,iFood *Pizzaria Napoli,48.00
